american woodcock	{"temperatureRange": "-30-30", "precipitationRange": "50-150", "kind": "small bird", "sealife": false, "diet": ["insect", "earthworm", "plant", "seed"]}
anaconda	{"temperatureRange": "20-35", "precipitationRange": "150-400", "kind": "large reptile", "sealife": false, "diet": ["fish", "small mammal", "large mammal", "small reptile", "large reptile", "small bird", "large bird", "egg"]}
andean goose	{"temperatureRange": "-5-10", "precipitationRange": "25-100", "kind": "large bird", "sealife": false, "diet": ["plant", "seed", "insect"]}
ant	{"temperatureRange": "-10-45", "precipitationRange": "25-300", "kind": "insect", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "plant", "fruit", "seed", "nectar", "honeydew", "carcass"]}
antelope ground squirrel	{"temperatureRange": "10-40", "precipitationRange": "15-40", "kind": "small mammal", "sealife": false, "diet": ["seed", "plant", "fruit", "insect"]}
arboral spiny rat	{"temperatureRange": "20-30", "precipitationRange": "100-200", "kind": "small mammal", "sealife": false, "diet": ["fruit", "seed", "nut", "plant"]}
arctic fox	{"temperatureRange": "-50-10", "precipitationRange": "15-30", "kind": "small mammal", "sealife": false, "diet": ["small mammal", "bird", "egg", "fish", "carcass", "plant"]}
arctic ground squirrel	{"temperatureRange": "-30-20", "precipitationRange": "15-30", "kind": "small mammal", "sealife": false, "diet": ["plant", "fruit", "seed", "nut", "insect", "small mammal", "egg", "carcass"]}
arctic hare	{"temperatureRange": "-40-10", "precipitationRange": "15-25", "kind": "small mammal", "sealife": false, "diet": ["plant", "berry", "bud", "bark", "moss", "lichen"]}
arctic lemming	{"temperatureRange": "-30-15", "precipitationRange": "15-50", "kind": "small mammal", "sealife": false, "diet": ["plant", "seed", "fruit", "moss"]}
arctic tern	{"temperatureRange": "-40-25", "precipitationRange": "13-38", "kind": "small bird", "sealife": false, "diet": ["small fish", "crustaceans", "insects", "mollusks", "worms", "eggs"]}
argalis	{"temperatureRange": "-30-20", "precipitationRange": "25-75", "kind": "large mammal", "sealife": false, "diet": ["plant", "grass"]}
asian elephant	{"temperatureRange": "10-35", "precipitationRange": "75-300", "kind": "giant mammal", "sealife": false, "diet": ["plant", "fruit", "seed", "nut", "wood", "bark"]}
asian false vampire bat	{"temperatureRange": "10-30", "precipitationRange": "100-200", "kind": "small mammal", "sealife": false, "diet": ["insect", "small reptile", "small bird"]}
asian foreset tortoise	{"temperatureRange": "20-30", "precipitationRange": "150-300", "kind": "large reptile", "sealife": false, "diet": ["plant", "fruit", "seed", "carcass", "insect"]}
asian lion	{"temperatureRange": "-5-45", "precipitationRange": "50-200", "kind": "large mammal", "sealife": false, "diet": ["large mammal", "small mammal", "reptile", "bird", "carcass"]}
asian openbill	{"temperatureRange": "10-35", "precipitationRange": "100-200", "kind": "large bird", "sealife": false, "diet": ["small fish", "snail", "crab", "insect", "small reptile", "small amphibian"]}
asian red fox	{"temperatureRange": "-20-45", "precipitationRange": "25-150", "kind": "small mammal", "sealife": false, "diet": ["insect", "small reptile", "small bird", "small mammal", "fruit", "seed", "carcass"]}
asian water buffalo	{"temperatureRange": "10-40", "precipitationRange": "100-200", "kind": "large mammal", "sealife": false, "diet": ["plant", "fruit"]}
asian water dragon	{"temperatureRange": "22-31", "precipitationRange": "100-250", "kind": "large reptile", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "small mammal", "small fish", "egg", "plant", "fruit"]}
asiatic jackal	{"temperatureRange": "-10-45", "precipitationRange": "10-100", "kind": "small mammal", "sealife": false, "diet": ["insect", "small reptile", "large reptile", "small bird", "small mammal", "fruit", "seed", "carcass"]}
asiatic wild ass	{"temperatureRange": "-15-45", "precipitationRange": "25-100", "kind": "large mammal", "sealife": false, "diet": ["plant"]}
australian brush turkey	{"temperatureRange": "10-40", "precipitationRange": "70-200", "kind": "large bird", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "fruit", "seed"]}
australian magpie	{"temperatureRange": "-5-45", "precipitationRange": "25-200", "kind": "large bird", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "small bird", "small mammal", "carcass", "seed", "fruit"]}
australian masked owl	{"temperatureRange": "-5-35", "precipitationRange": "25-200", "kind": "large bird", "sealife": false, "diet": ["small mammal", "small bird", "insect", "small reptile", "small amphibian"]}
australian pelican	{"temperatureRange": "-5-45", "precipitationRange": "25-200", "kind": "large bird", "sealife": false, "diet": ["small fish", "large fish", "crustacean", "amphibian", "small reptile"]}
australian sea lion	{"temperatureRange": "10-20", "precipitationRange": "50-150", "kind": "large mammal", "sealife": true, "diet": ["small fish", "squid", "octopus", "cuttlefish", "crustacean"]}
australian spiny anteater	{"temperatureRange": "10-35", "precipitationRange": "20-150", "kind": "small mammal", "sealife": false, "diet": ["insect", "ant", "termite"]}
azara's zorro	{"temperatureRange": "-10-35", "precipitationRange": "50-150", "kind": "small mammal", "sealife": false, "diet": ["insect", "small reptile", "small mammal", "bird", "egg", "fruit", "carcass"]}
bahama pintail	{"temperatureRange": "10-30", "precipitationRange": "50-150", "kind": "small bird", "sealife": false, "diet": ["plant", "seed", "insect", "small fish", "small amphibian"]}
bald eagle	{"temperatureRange": "-30-38", "precipitationRange": "25-380", "kind": "large bird", "sealife": false, "diet": ["small fish", "large fish", "small mammal", "carcass", "egg"]}
baleen whale	{"temperatureRange": "-1-25", "precipitationRange": "50-250", "kind": "giant mammal", "sealife": true, "diet": ["krill", "small fish", "crustaceans"]}
banded mongoose	{"temperatureRange": "10-40", "precipitationRange": "50-150", "kind": "small mammal", "sealife": false, "diet": ["insect", "small reptile", "small mammal", "egg", "fruit", "seed"]}
barasingha deer	{"temperatureRange": "10-35", "precipitationRange": "70-150", "kind": "large mammal", "sealife": false, "diet": ["plant", "fruit", "seed"]}
bare-faced go away bird	{"temperatureRange": "10-30", "precipitationRange": "50-150", "kind": "large bird", "sealife": false, "diet": ["fruit", "seed", "insect", "small reptile"]}
barking gecko	{"temperatureRange": "21-32", "precipitationRange": "40-100", "kind": "small reptile", "sealife": false, "diet": ["insect"]}
barrows goldeneye	{"temperatureRange": "-30-20", "precipitationRange": "25-100", "kind": "large bird", "sealife": false, "diet": ["insect", "small fish", "small amphibian", "plant"]}
bat-eared fox	{"temperatureRange": "-5-45", "precipitationRange": "25-100", "kind": "small mammal", "sealife": false, "diet": ["insect", "small reptile", "small mammal", "fruit", "carcass"]}
bateleur eagle	{"temperatureRange": "10-45", "precipitationRange": "25-150", "kind": "large bird", "sealife": false, "diet": ["small reptile", "large reptile", "small bird", "large bird", "small mammal", "carcass"]}
bee-eater	{"temperatureRange": "10-35", "precipitationRange": "25-150", "kind": "small bird", "sealife": false, "diet": ["insect", "bee", "wasp", "hornet", "dragonfly", "butterfly"]}
beisa oryx	{"temperatureRange": "15-45", "precipitationRange": "10-40", "kind": "large mammal", "sealife": false, "diet": ["plant", "fruit", "seed", "nut"]}
bengal vulture	{"temperatureRange": "10-45", "precipitationRange": "50-200", "kind": "large bird", "sealife": false, "diet": ["carcass"]}
bennett's wallaby	{"temperatureRange": "-5-35", "precipitationRange": "50-150", "kind": "small mammal", "sealife": false, "diet": ["grass", "leaves", "fruit", "bark"]}
bent-toed gecko	{"temperatureRange": "21-29", "precipitationRange": "100-200", "kind": "small reptile", "sealife": false, "diet": ["insect"]}
bird	{"temperatureRange": "-10-35", "precipitationRange": "25-200", "kind": "small bird", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "fruit", "seed", "nectar"]}
black and white colobus	{"temperatureRange": "10-30", "precipitationRange": "100-300", "kind": "large mammal", "sealife": false, "diet": ["plant", "fruit", "seed", "leaf"]}
black bear	{"temperatureRange": "-40-32", "precipitationRange": "50-200", "kind": "large mammal", "sealife": false, "diet": ["insect", "small reptile", "large reptile", "small mammal", "large mammal", "fish", "carcass", "plant", "fruit", "seed", "nut", "honey"]}
black curlew	{"temperatureRange": "10-35", "precipitationRange": "25-150", "kind": "large bird", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "small fish", "crustacean", "worm"]}
black kite	{"temperatureRange": "-10-45", "precipitationRange": "25-200", "kind": "large bird", "sealife": false, "diet": ["insect", "small reptile", "large reptile", "small amphibian", "small bird", "small mammal", "carcass", "egg"]}
black rhinoceros	{"temperatureRange": "15-40", "precipitationRange": "25-150", "kind": "giant mammal", "sealife": false, "diet": ["plant"]}
black spider monkey	{"temperatureRange": "20-30", "precipitationRange": "150-400", "kind": "large mammal", "sealife": false, "diet": ["fruit", "seed", "nut", "leaf", "insect", "egg"]}
black swan	{"temperatureRange": "-5-35", "precipitationRange": "40-150", "kind": "large bird", "sealife": false, "diet": ["plant", "algae", "seed", "root"]}
black vulture	{"temperatureRange": "-10-45", "precipitationRange": "25-200", "kind": "large bird", "sealife": false, "diet": ["carcass", "small reptile", "small amphibian", "small mammal", "egg"]}
black-backed jackal	{"temperatureRange": "-10-45", "precipitationRange": "15-100", "kind": "small mammal", "sealife": false, "diet": ["insect", "small reptile", "large reptile", "small mammal", "large mammal", "carcass", "fruit", "seed", "plant"]}
black-backed magpie	{"temperatureRange": "-15-30", "precipitationRange": "25-100", "kind": "large bird", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "small mammal", "carcass", "egg", "fruit", "seed", "nut"]}
black-capped capuchin	{"temperatureRange": "10-30", "precipitationRange": "150-400", "kind": "small mammal", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "small bird", "egg", "fruit", "seed", "nut", "plant"]}
black-capped chickadee	{"temperatureRange": "-40-38", "precipitationRange": "30-100", "kind": "small bird", "sealife": false, "diet": ["insect", "spider", "seed", "nut", "fruit", "berry", "suet"]}
black-cheeked waxbill	{"temperatureRange": "10-30", "precipitationRange": "50-150", "kind": "small bird", "sealife": false, "diet": ["seed", "insect"]}
black-collared barbet	{"temperatureRange": "20-30", "precipitationRange": "100-300", "kind": "small bird", "sealife": false, "diet": ["fruit", "insect", "seed", "nectar"]}
black-crowned crane	{"temperatureRange": "10-35", "precipitationRange": "75-150", "kind": "large bird", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "small fish", "plant", "seed"]}
black-crowned night heron	{"temperatureRange": "-10-35", "precipitationRange": "25-200", "kind": "large bird", "sealife": false, "diet": ["small fish", "crustaceans", "insects", "small amphibians", "small reptiles", "small mammals", "egg"]}
black-eyed bulbul	{"temperatureRange": "10-35", "precipitationRange": "50-200", "kind": "small bird", "sealife": false, "diet": ["fruit", "seed", "nectar", "insect"]}
black-faced kangaroo	{"temperatureRange": "-5-40", "precipitationRange": "25-75", "kind": "large mammal", "sealife": false, "diet": ["plant", "grass"]}
black-footed ferret	{"temperatureRange": "-30-38", "precipitationRange": "25-50", "kind": "small mammal", "sealife": false, "diet": ["prairie dog", "small mammal", "insect", "bird"]}
black-fronted bulbul	{"temperatureRange": "10-35", "precipitationRange": "50-200", "kind": "small bird", "sealife": false, "diet": ["fruit", "seed", "insect", "nectar"]}
black-necked stork	{"temperatureRange": "10-45", "precipitationRange": "70-200", "kind": "large bird", "sealife": false, "diet": ["small fish", "large fish", "small amphibian", "large amphibian", "insect", "small reptile", "crustacean", "mollusc"]}
black-tailed deer	{"temperatureRange": "-15-35", "precipitationRange": "50-200", "kind": "large mammal", "sealife": false, "diet": ["plant", "fruit", "seed", "nut", "grass", "forb", "lichen"]}
black-tailed prairie dog	{"temperatureRange": "-30-35", "precipitationRange": "25-75", "kind": "small mammal", "sealife": false, "diet": ["plant", "fruit", "seed", "insect"]}
black-tailed tree creeper	{"temperatureRange": "-10-30", "precipitationRange": "50-200", "kind": "small bird", "sealife": false, "diet": ["insect", "spider", "egg"]}
black-throated butcher bird	{"temperatureRange": "10-35", "precipitationRange": "50-150", "kind": "small bird", "sealife": false, "diet": ["insect", "small reptile", "small bird", "small mammal", "carcass"]}
black-throated cardinal	{"temperatureRange": "10-35", "precipitationRange": "75-150", "kind": "small bird", "sealife": false, "diet": ["insect", "seed", "fruit", "nectar"]}
black-winged stilt	{"temperatureRange": "10-35", "precipitationRange": "25-100", "kind": "large bird", "sealife": false, "diet": ["insect", "small fish", "small amphibian", "crustacean", "mollusk"]}
blackbuck	{"temperatureRange": "10-45", "precipitationRange": "25-100", "kind": "large mammal", "sealife": false, "diet": ["plant", "fruit", "seed"]}
blackish oystercatcher	{"temperatureRange": "-5-25", "precipitationRange": "25-100", "kind": "small bird", "sealife": false, "diet": ["mollusk", "crustacean", "marine worm", "insect", "egg"]}
blacksmith plover	{"temperatureRange": "10-45", "precipitationRange": "25-100", "kind": "small bird", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "seed"]}
bleeding heart monkey	{"temperatureRange": "15-25", "precipitationRange": "200-400", "kind": "small mammal", "sealife": false, "diet": ["fruit", "seed", "plant", "insect"]}
blesbok	{"temperatureRange": "-10-35", "precipitationRange": "30-80", "kind": "large mammal", "sealife": false, "diet": ["plant"]}
blue and gold macaw	{"temperatureRange": "20-35", "precipitationRange": "150-300", "kind": "large bird", "sealife": false, "diet": ["fruit", "seed", "nut", "insect", "small reptile"]}
blue and yellow macaw	{"temperatureRange": "20-35", "precipitationRange": "150-300", "kind": "large bird", "sealife": false, "diet": ["fruit", "seed", "nut", "insect", "small reptile"]}
blue catfish	{"temperatureRange": "4-32", "precipitationRange": "75-150", "kind": "large fish", "sealife": false, "diet": ["insect", "small fish", "large fish", "carcass"]}
blue crane	{"temperatureRange": "-10-40", "precipitationRange": "40-100", "kind": "large bird", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "small mammal", "seed", "plant"]}
blue duck	{"temperatureRange": "10-25", "precipitationRange": "100-250", "kind": "large bird", "sealife": false, "diet": ["insect", "small fish", "small amphibian", "plant"]}
blue fox	{"temperatureRange": "-50-30", "precipitationRange": "25-150", "kind": "small mammal", "sealife": false, "diet": ["small mammal", "bird", "egg", "fish", "carcass", "plant", "berry"]}
blue peacock	{"temperatureRange": "-5-35", "precipitationRange": "75-200", "kind": "large bird", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "seed", "grain", "fruit", "flower", "nectar"]}
blue racer	{"temperatureRange": "20-30", "precipitationRange": "50-100", "kind": "large reptile", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "small mammal", "egg"]}
blue shark	{"temperatureRange": "7-24", "precipitationRange": "100-250", "kind": "large fish", "sealife": true, "diet": ["small fish", "large fish", "squid", "octopus", "carcass"]}
blue waxbill	{"temperatureRange": "10-30", "precipitationRange": "50-150", "kind": "small bird", "sealife": false, "diet": ["seed", "insect"]}
blue wildebeest	{"temperatureRange": "10-40", "precipitationRange": "30-100", "kind": "large mammal", "sealife": false, "diet": ["plant"]}
blue-breasted cordon bleu	{"temperatureRange": "10-30", "precipitationRange": "50-150", "kind": "small bird", "sealife": false, "diet": ["seed", "insect"]}
blue-faced booby	{"temperatureRange": "20-30", "precipitationRange": "75-150", "kind": "large bird", "sealife": false, "diet": ["small fish"]}
blue-footed booby	{"temperatureRange": "25-30", "precipitationRange": "0-50", "kind": "large bird", "sealife": false, "diet": ["small fish", "squid"]}
blue-tongued lizard	{"temperatureRange": "20-35", "precipitationRange": "50-150", "kind": "large reptile", "sealife": false, "diet": ["insect", "small reptile", "small mammal", "fruit", "seed", "carcass"]}
blue-tongued skink	{"temperatureRange": "20-30", "precipitationRange": "50-100", "kind": "small reptile", "sealife": false, "diet": ["insect", "small reptile", "small mammal", "plant", "fruit", "seed", "carcass"]}
boat-billed heron	{"temperatureRange": "10-35", "precipitationRange": "100-300", "kind": "large bird", "sealife": false, "diet": ["small fish", "crustaceans", "aquatic insects", "small amphibians", "small reptiles"]}
bobcat	{"temperatureRange": "-30-40", "precipitationRange": "25-150", "kind": "large mammal", "sealife": false, "diet": ["small mammal", "large mammal", "small bird", "large bird", "small reptile", "insect", "carcass"]}
bohor reedbuck	{"temperatureRange": "10-35", "precipitationRange": "50-150", "kind": "small mammal", "sealife": false, "diet": ["plant"]}
bonnet macaque	{"temperatureRange": "10-40", "precipitationRange": "50-200", "kind": "small mammal", "sealife": false, "diet": ["insect", "small reptile", "small mammal", "plant", "fruit", "seed", "nut"]}
bontebok	{"temperatureRange": "-5-35", "precipitationRange": "30-80", "kind": "large mammal", "sealife": false, "diet": ["plant"]}
bottle-nose dolphin	{"temperatureRange": "10-32", "precipitationRange": "100-250", "kind": "large mammal", "sealife": true, "diet": ["small fish", "large fish", "squid", "shrimp", "crustaceans"]}
brazilian otter	{"temperatureRange": "10-35", "precipitationRange": "150-300", "kind": "small mammal", "sealife": false, "diet": ["fish", "crustacean", "mollusc", "small reptile", "small mammal", "insect", "egg"]}
brazilian tapir	{"temperatureRange": "10-30", "precipitationRange": "150-400", "kind": "large mammal", "sealife": false, "diet": ["plant", "fruit", "leaves", "twigs", "aquatic plants"]}
brindled gnu	{"temperatureRange": "10-35", "precipitationRange": "25-100", "kind": "large mammal", "sealife": false, "diet": ["plant"]}
brolga crane	{"temperatureRange": "5-40", "precipitationRange": "40-150", "kind": "large bird", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "small fish", "plant", "seed", "bulb", "root"]}
brown and yellow marshbird	{"temperatureRange": "10-35", "precipitationRange": "100-300", "kind": "small bird", "sealife": false, "diet": ["insect", "small fish", "small amphibian", "seed"]}
brown antechinus	{"temperatureRange": "10-25", "precipitationRange": "50-150", "kind": "small mammal", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "fruit", "seed"]}
brown brocket	{"temperatureRange": "20-30", "precipitationRange": "150-400", "kind": "small mammal", "sealife": false, "diet": ["plant", "fruit", "seed", "nut"]}
brown capuchin	{"temperatureRange": "20-30", "precipitationRange": "150-400", "kind": "small mammal", "sealife": false, "diet": ["insect", "small reptile", "small amphibian", "small bird", "egg", "fruit", "seed", "nut", "nectar"]}
brown hyena	{"temperatureRange": "-10-45", "precipitationRange": "10-100", "kind": "large mammal", "sealife": false, "diet": ["carcass", "small mammal", "large mammal", "insect", "egg", "fruit", "plant"]}
brown lemur	{"temperatureRange": "10-30", "precipitationRange": "100-350", "kind": "small mammal", "sealife": false, "diet": ["fruit", "leaves", "flowers", "nectar", "insect"]}
brown pelican	{"temperatureRange": "10-35", "precipitationRange": "25-200", "kind": "large bird", "sealife": false, "diet": ["small fish"]}
brush-tailed bettong	{"temperatureRange": "10-35", "precipitationRange": "50-150", "kind": "small mammal", "sealife": false, "diet": ["plant", "fruit", "seed", "nut", "fungi", "insect"]}
brush-tailed phascogale	{"temperatureRange": "-5-30", "precipitationRange": "50-150", "kind": "small mammal", "sealife": false, "diet": ["insect", "small reptile", "small bird", "small mammal", "fruit", "nectar", "seed"]}
brush-tailed rat kangaroo	{"temperatureRange": "10-35", "precipitationRange": "50-100", "kind": "small mammal", "sealife": false, "diet": ["plant", "fruit", "seed", "insect", "fungi"]}
burchell's gonolek	{"temperatureRange": "10-35", "precipitationRange": "50-150", "kind": "small bird", "sealife": false, "diet": ["insect", "small reptile", "spider"]}
burmese black mountain tortoise	{"temperatureRange": "20-28", "precipitationRange": "100-200", "kind": "large reptile", "sealife": false, "diet": ["plant", "fruit", "vegetable", "grass", "hay"]}
burmese brown mountain tortoise	{"temperatureRange": "18-28", "precipitationRange": "100-200", "kind": "large reptile", "sealife": false, "diet": ["plant", "fruit", "vegetable", "carcass"]}
burrowing owl	{"temperatureRange": "-10-40", "precipitationRange": "25-100", "kind": "small bird", "sealife": false, "diet": ["insect", "small mammal", "small reptile", "small bird", "egg"]}
bush dog	{"temperatureRange": "20-30", "precipitationRange": "150-300", "kind": "small mammal", "sealife": false, "diet": ["small mammal", "small reptile", "small bird", "insect"]}
bushbuck	{"temperatureRange": "10-35", "precipitationRange": "70-150", "kind": "small mammal", "sealife": false, "diet": ["plant", "fruit", "seed", "flower"]}
bushpig	{"temperatureRange": "10-35", "precipitationRange": "75-150", "kind": "large mammal", "sealife": false, "diet": ["plant", "fruit", "seed", "nut", "insect", "small reptile", "small mammal", "carcass", "egg"]}
butterfly	{"temperatureRange": "10-40", "precipitationRange": "25-200", "kind": "insect", "sealife": false, "diet": ["nectar", "pollen", "fruit", "tree sap"]}
buttermilk snake	{"temperatureRange": "24-30", "precipitationRange": "75-125", "kind": "small reptile", "sealife": false, "diet": ["small reptile", "small mammal", "egg"]}
california sea lion	{"temperatureRange": "8-27", "precipitationRange": "0-100", "kind": "large mammal", "sealife": false, "diet": ["small fish", "squid", "octopus", "crustaceans"]}
campo flicker	{"temperatureRange": "-5-35", "precipitationRange": "25-100", "kind": "small bird", "sealife": false, "diet": ["insect", "fruit", "seed"]}
canada goose	{"temperatureRange": "-40-30", "precipitationRange": "25-100", "kind": "large bird", "sealife": false, "diet": ["plant", "seed", "grain", "grass", "berry", "insect", "small fish", "small amphibian"]}
canadian river otter	{"temperatureRange": "-40-30", "precipitationRange": "25-150", "kind": "small mammal", "sealife": false, "diet": ["small fish", "large fish", "small mammal", "insect", "small reptile", "small amphibian", "large amphibian", "egg", "carcass"]}
canadian tiger swallowtail butterfly	{"temperatureRange": "10-30", "precipitationRange": "75-150", "kind": "insect", "sealife": false, "diet": ["nectar", "plant"]}
cape barren goose	{"temperatureRange": "-15-35", "precipitationRange": "25-100", "kind": "large bird", "sealife": false, "diet": ["plant", "seed", "fruit", "insect"]}
cape clawless otter	{"temperatureRange": "10-30", "precipitationRange": "50-150", "kind": "small mammal", "sealife": false, "diet": ["small fish", "crab", "insect", "small reptile", "small amphibian", "egg"]}
cape cobra	{"temperatureRange": "20-35", "precipitationRange": "25-100", "kind": "large reptile", "sealife": false, "diet": ["small reptile", "large reptile", "small amphibian", "small bird", "small mammal", "egg", "carcass"]}
cape fox	{"temperatureRange": "-10-40", "precipitationRange": "10-50", "kind": "small mammal", "sealife": false, "diet": ["insect", "small reptile", "small mammal", "fruit", "seed", "carcass"]}
